quarter,ticker,cik,weight,price
2026Q2,GOOG,1652044,0.1037994943744315,315.72
2026Q2,APTV,1521332,0.0858651732034199,59.65
2026Q2,CDNS,813672,0.032484966001207,265.66
2026Q2,JNJ,200406,0.0308179149202493,238.46
2026Q2,ADBE,796343,0.0283539490915194,225.35
2026Q2,NTAP,1002047,0.0273148489769412,95.93
2026Q2,NOW,1373715,0.0241355748691233,83.0
2026Q2,VRTX,875320,0.0232245213623388,436.27
2026Q2,PTC,857005,0.0230175431781549,133.44
2026Q2,ADI,6281,0.0216507884138418,350.14
2026Q2,MSI,68505,0.0209169599451376,433.69
2026Q2,JKHY,779152,0.020213699987818,147.2
2026Q2,MU,723125,0.0197637336208942,420.59
2026Q2,WDAY,1327811,0.0188431466731548,112.5
2026Q2,ISRG,1035267,0.0182782408997663,450.62
2026Q2,AMGN,318154,0.0179463135903485,351.02
2026Q2,C,831001,0.0178421769703353,123.8044
2026Q2,QCOM,804328,0.017139742337884,128.06
2026Q2,IBM,51143,0.0170424132938401,230.76
2026Q2,STX,1137789,0.01704095465767,503.13
2026Q2,TER,97210,0.0168051047551302,367.99
2026Q2,FFIV,1048695,0.0162022496845124,289.81
2026Q2,JPM,19617,0.0153773761492954,309.87
2026Q2,CVX,93410,0.0153557943196488,188.55
2026Q2,CBOE,1374310,0.0148874382684571,295.95
2026Q2,BNY,1390777,0.0145503094466573,127.0557
2026Q2,GL,320335,0.0144911492870541,145.84
2026Q2,SYF,1601712,0.0133021484712747,72.1174
2026Q2,EMR,32604,0.0131340186298154,143.77
2026Q2,BKR,1701605,0.0131116901148157,62.6206
2026Q2,KLAC,319201,0.0128722801409912,1737.28
2026Q2,PNR,77360,0.0115853231117198,89.9355
2026Q2,ADP,8670,0.0114292704811922,188.79
2026Q2,GEV,1996810,0.0113914806790323,991.32
2026Q2,EFX,33185,0.0108810983831814,177.97
2026Q2,RTX,101829,0.0107141845694557,201.56
2026Q2,NEM,1164727,0.0105547032563259,120.9
2026Q2,LIN,1707925,0.0104770172599084,503.15
2026Q2,XYL,1524472,0.0104035318330581,128.72
2026Q2,UNP,100885,0.0099851898726029,250.51
2026Q2,SLB,87347,0.0098562774293944,51.92
2026Q2,SYY,96021,0.0090196082445216,72.82
2026Q2,KVUE,1944048,0.008741640233703,17.35
2026Q2,DLR,1297996,0.0077613474483571,188.87
2026Q2,TSLA,1318605,0.0070073328616509,348.95
2026Q2,SPG,1063761,0.0060620680902424,200.57
2026Q2,AMZN,1018724,0.0059709429059781,238.38
2026Q2,KMB,55785,0.0058745714472621,97.28
2026Q2,CHD,313927,0.0058663543925406,95.42
2026Q2,CEG,1868275,0.0049607418911672,286.5
2026Q2,AMT,1053507,0.004722916636954,177.5163
2026Q2,ADM,7084,0.0046687857900106,69.73
2026Q2,CLX,21076,0.004658857963235,103.9694
2026Q2,PPL,922224,0.0037311512390351,39.65
2026Q2,ED,1047862,0.0035079727021277,113.56
2026Q2,AES,874761,0.0034206720109653,14.2147
2026Q2,CAG,23217,0.0033630682031108,14.8066
2026Q2,XEL,72903,0.003335129578465,82.38
2026Q2,AEP,4904,0.0033181342416144,136.3
2026Q2,ANET,1596532,0.0032162679288534,147.35
2026Q2,ETR,65984,0.0030802019379758,115.8378
2026Q2,PEP,77476,0.0030499528921586,157.06
2026Q2,REGN,872589,0.002878204783314,748.87
2026Q2,NTRS,73124,0.0025265595751709,152.23
2026Q2,FTNT,1262039,0.0023895562076478,76.7
2026Q2,CINF,20286,0.0023216274906274,161.14
2026Q2,MDLZ,1103982,0.0023038700604833,59.0
2026Q2,COIN,1679788,0.0020562705932216,167.85
2026Q2,ORCL,1341439,0.0020144103499328,138.09
2026Q2,JBL,898293,0.0018346689794548,299.5
2026Q2,KHC,1637459,0.0018235192696069,23.06
2026Q2,MO,764180,0.0017466850244154,67.38
2026Q2,MRNA,1682852,0.0016104964932751,50.96
2026Q2,BEN,38777,0.0015524637478262,24.91
2026Q2,ARES,1176948,0.0013437282226678,100.46
2026Q2,GLW,24741,0.0012722208699383,171.24
2026Q2,MSCI,1408198,0.00125317124611,536.48
2026Q2,CRWD,1535527,0.0011701954069185,379.02
2026Q2,INTU,896878,0.0011674259598755,350.94
2026Q2,NDAQ,1120193,0.0011254522032374,83.16
2026Q2,MET,1099219,0.0010997593405397,73.88
2026Q2,CPAY,1175454,0.0010924171868181,302.83
2026Q2,INTC,50863,0.000978246575897,62.38
2026Q2,SNDK,2023554,0.0009754895705207,851.77
2026Q2,PLTR,1321655,0.0009305239338142,128.06
2026Q2,NVDA,1045810,0.0009188173486438,188.63
2026Q2,UBER,1543151,0.0008617932301458,70.48
2026Q2,AXON,1069183,0.0006709485012941,345.94
2026Q2,KDP,1418135,0.000535653994501,26.57
2026Q2,SBAC,1034054,0.000479117927152,223.75
2026Q2,CSGP,1057352,0.0004464407128263,36.48
2026Q2,CPB,16732,0.000222754042591,20.43
